,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
7,-122.25,37.84,52,3104,687.0,1157,647,3.12,241400
8,-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700
9,-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100
10,-122.26,37.85,52,2202,434.0,910,402,3.2031,281500
11,-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800
12,-122.26,37.85,52,2491,474.0,1098,468,3.075,213500
14,-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200
39,-122.26,37.83,52,2432,715.0,1377,696,2.5898,176000
52,-122.27,37.82,41,3221,853.0,1959,720,1.1108,97500
69,-122.29,37.81,46,2801,644.0,1823,611,0.9802,129200
76,-122.28,37.81,36,2914,562.0,1236,509,2.4464,102100
94,-122.27,37.8,39,1715,623.0,1327,467,1.8477,179200
103,-122.25,37.81,52,2155,701.0,895,613,2.5795,350000
106,-122.24,37.81,52,2026,482.0,709,456,3.2727,268500
108,-122.24,37.82,52,3481,751.0,1444,718,3.9,275700
113,-122.25,37.83,52,2376,559.0,939,519,3.1484,224100
143,-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700
144,-122.21,37.8,38,2254,535.0,951,487,3.0812,233100
147,-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700
148,-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600
149,-122.22,37.8,52,2721,541.0,1185,515,4.5428,239800
152,-122.23,37.8,52,2033,486.0,787,459,3.1603,269500
159,-122.24,37.81,52,2093,550.0,918,483,2.7477,243800
161,-122.25,37.8,52,2087,510.0,1197,488,3.0149,218400
162,-122.24,37.81,52,2513,502.0,1048,518,3.675,269900
163,-122.25,37.81,46,3232,835.0,1373,747,3.225,218800
165,-122.25,37.8,43,2364,792.0,1359,722,2.1429,250000
166,-122.25,37.8,41,1471,469.0,1062,413,1.6121,171400
167,-122.25,37.8,29,2468,864.0,1335,773,1.3929,193800
168,-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000
169,-122.25,37.79,45,1786,526.0,1475,460,1.7772,97500
172,-122.25,37.8,36,1678,606.0,1645,543,2.2303,116700
173,-122.25,37.8,43,2344,647.0,1710,644,1.6504,151800
177,-122.24,37.8,47,2046,588.0,1213,554,2.6292,182700
179,-122.24,37.8,52,1803,420.0,1321,401,2.957,122800
180,-122.24,37.8,49,2838,749.0,1487,677,2.5238,169300
183,-122.23,37.8,50,1746,480.0,1149,415,2.25,123500
186,-122.23,37.79,52,1783,395.0,1659,412,2.9357,107900
188,-122.24,37.79,39,1469,431.0,1464,389,2.1638,105500
191,-122.24,37.79,43,1626,376.0,1284,357,2.2542,112200
195,-122.26,37.8,20,2373,779.0,1659,676,1.6929,115000
201,-122.22,37.78,50,1920,530.0,1525,477,1.4886,128800
202,-122.23,37.78,43,1420,472.0,1506,438,1.9338,112500
204,-122.23,37.78,44,2340,825.0,2813,751,1.6009,118100
205,-122.23,37.79,48,1696,396.0,1481,343,2.0375,122500
207,-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500
211,-122.22,37.79,52,3424,690.0,2273,685,3.9048,164700
213,-122.22,37.79,46,2366,575.0,1647,527,2.6042,124700
214,-122.22,37.79,49,1826,450.0,1201,424,2.5,136700
215,-122.22,37.79,38,3049,711.0,2167,659,2.7969,141700
218,-122.21,37.79,34,2364,557.0,1517,516,2.8365,139200
220,-122.21,37.8,39,2003,500.0,1109,464,3.0682,156500
221,-122.21,37.8,39,2018,447.0,1221,446,3.0757,151000
224,-122.21,37.8,52,3519,711.0,1883,706,3.4861,187100
231,-122.2,37.8,46,2041,405.0,1059,399,3.8487,203300
234,-122.19,37.79,28,3144,761.0,1737,669,2.9297,140500
237,-122.2,37.79,44,1621,452.0,1354,491,2.6189999999999998,134700
238,-122.21,37.79,45,2115,533.0,1530,474,2.4167,139400
239,-122.2,37.79,45,2021,528.0,1410,480,2.7788,115400
240,-122.21,37.78,46,2239,508.0,1390,569,2.7352,137300
244,-122.22,37.78,44,2968,710.0,2269,610,2.3906,111700
245,-122.21,37.78,43,1702,460.0,1227,407,1.7188,126800
248,-122.22,37.78,50,1776,473.0,1807,440,1.7276,102300
249,-122.22,37.78,44,1678,514.0,1700,495,2.0801,131900
250,-122.22,37.78,51,1637,463.0,1543,393,2.489,119100
254,-122.2,37.77,49,2272,498.0,1621,483,2.4338,102400
258,-122.2,37.77,39,2689,597.0,1888,537,2.2562,94800
260,-122.2,37.78,52,2300,443.0,1225,423,3.5398,158400
262,-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100
263,-122.2,37.77,43,2430,502.0,1537,484,2.898,121400
264,-122.21,37.78,44,1729,414.0,1240,393,2.3125,102800
268,-122.19,37.78,52,2492,415.0,1109,375,4.3125,164400
285,-122.17,37.77,30,3326,746.0,1704,703,2.875,135300
295,-122.17,37.77,31,2424,533.0,1360,452,1.871,90700
302,-122.18,37.76,49,2308,452.0,1299,451,1.8407,96700
307,-122.18,37.77,52,2744,547.0,1479,554,2.2768,96200
312,-122.19,37.77,41,2036,510.0,1412,454,2.0469,89300
317,-122.2,37.76,37,2680,736.0,1925,667,1.4097,84600
319,-122.19,37.75,19,2207,565.0,1481,520,1.3194,81400
352,-122.16,37.75,38,2457,624.0,1516,482,1.5625,91700
356,-122.16,37.76,36,2781,574.0,1438,519,2.4598,155500
367,-122.13,37.74,41,4400,666.0,1476,648,5.0,248900
396,-122.29,37.89,52,3171,698.0,1498,696,3.1795,218200
