,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
143,-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700
144,-122.21,37.8,38,2254,535.0,951,487,3.0812,233100
147,-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700
148,-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600
166,-122.25,37.8,41,1471,469.0,1062,413,1.6121,171400
168,-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000
169,-122.25,37.79,45,1786,526.0,1475,460,1.7772,97500
172,-122.25,37.8,36,1678,606.0,1645,543,2.2303,116700
177,-122.24,37.8,47,2046,588.0,1213,554,2.6292,182700
179,-122.24,37.8,52,1803,420.0,1321,401,2.957,122800
183,-122.23,37.8,50,1746,480.0,1149,415,2.25,123500
186,-122.23,37.79,52,1783,395.0,1659,412,2.9357,107900
188,-122.24,37.79,39,1469,431.0,1464,389,2.1638,105500
189,-122.24,37.79,47,1372,395.0,1237,303,2.125,95500
191,-122.24,37.79,43,1626,376.0,1284,357,2.2542,112200
196,-122.22,37.77,52,391,128.0,520,138,1.6471,95000
197,-122.22,37.77,52,1137,301.0,866,259,2.59,96400
198,-122.23,37.77,52,769,206.0,612,183,2.57,72000
200,-122.23,37.78,52,862,215.0,994,213,3.0257,80800
201,-122.22,37.78,50,1920,530.0,1525,477,1.4886,128800
202,-122.23,37.78,43,1420,472.0,1506,438,1.9338,112500
203,-122.23,37.78,52,986,258.0,1008,255,1.4844,119400
205,-122.23,37.79,48,1696,396.0,1481,343,2.0375,122500
207,-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500
210,-122.22,37.79,44,1487,314.0,961,272,3.5156,109500
212,-122.21,37.79,52,762,190.0,600,195,3.0893,125000
213,-122.22,37.79,46,2366,575.0,1647,527,2.6042,124700
214,-122.22,37.79,49,1826,450.0,1201,424,2.5,136700
216,-122.2,37.79,29,1640,376.0,939,340,2.8321,150000
217,-122.21,37.79,47,1543,307.0,859,292,2.9583,138800
218,-122.21,37.79,34,2364,557.0,1517,516,2.8365,139200
219,-122.21,37.79,35,1745,409.0,1143,386,2.875,143800
220,-122.21,37.8,39,2003,500.0,1109,464,3.0682,156500
221,-122.21,37.8,39,2018,447.0,1221,446,3.0757,151000
229,-122.19,37.79,50,968,195.0,462,184,2.9844,179900
230,-122.2,37.79,40,1060,256.0,667,235,4.1739,169600
231,-122.2,37.8,46,2041,405.0,1059,399,3.8487,203300
234,-122.19,37.79,28,3144,761.0,1737,669,2.9297,140500
235,-122.2,37.79,35,1802,459.0,1009,390,2.3036,126000
236,-122.2,37.79,49,882,195.0,737,210,2.6667,122000
237,-122.2,37.79,44,1621,452.0,1354,491,2.6189999999999998,134700
238,-122.21,37.79,45,2115,533.0,1530,474,2.4167,139400
239,-122.2,37.79,45,2021,528.0,1410,480,2.7788,115400
240,-122.21,37.78,46,2239,508.0,1390,569,2.7352,137300
241,-122.21,37.78,52,1477,300.0,1065,269,1.8472,137000
242,-122.21,37.78,52,1056,224.0,792,245,2.6583,142600
243,-122.21,37.78,49,898,244.0,779,245,3.0536,137500
244,-122.22,37.78,44,2968,710.0,2269,610,2.3906,111700
245,-122.21,37.78,43,1702,460.0,1227,407,1.7188,126800
246,-122.21,37.78,47,881,248.0,753,241,2.625,111300
247,-122.22,37.77,40,494,114.0,547,135,2.8015,114800
248,-122.22,37.78,50,1776,473.0,1807,440,1.7276,102300
249,-122.22,37.78,44,1678,514.0,1700,495,2.0801,131900
250,-122.22,37.78,51,1637,463.0,1543,393,2.489,119100
251,-122.21,37.76,52,1420,314.0,1085,300,1.7546,80600
252,-122.21,37.77,52,591,173.0,353,137,4.0904,80600
253,-122.21,37.77,52,745,153.0,473,149,2.6765,88800
254,-122.2,37.77,49,2272,498.0,1621,483,2.4338,102400
255,-122.21,37.77,46,1234,375.0,1183,354,2.3309,98700
256,-122.21,37.77,43,1017,328.0,836,277,2.2604,100000
257,-122.19,37.77,42,932,254.0,900,263,1.8039,92300
258,-122.2,37.77,39,2689,597.0,1888,537,2.2562,94800
259,-122.2,37.77,41,1547,415.0,1024,341,2.0562,102000
260,-122.2,37.78,52,2300,443.0,1225,423,3.5398,158400
261,-122.2,37.78,39,1752,399.0,1071,376,3.1167,121600
262,-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100
263,-122.2,37.77,43,2430,502.0,1537,484,2.898,121400
264,-122.21,37.78,44,1729,414.0,1240,393,2.3125,102800
265,-122.19,37.78,52,1026,180.0,469,168,2.875,160000
266,-122.19,37.77,52,2170,428.0,1086,425,3.3715,143900
267,-122.19,37.77,52,2329,445.0,1144,417,3.5114,151200
268,-122.19,37.78,52,2492,415.0,1109,375,4.3125,164400
269,-122.19,37.78,52,2198,397.0,984,369,3.22,156500
271,-122.19,37.78,49,1183,205.0,496,209,5.2328,174200
272,-122.19,37.78,52,1070,193.0,555,190,3.7262,166900
277,-122.19,37.79,47,1229,243.0,582,256,2.9514,198100
278,-122.19,37.79,50,954,217.0,546,201,2.6667,172800
284,-122.17,37.78,42,1524,260.0,651,267,3.6875,157300
285,-122.17,37.77,30,3326,746.0,1704,703,2.875,135300
286,-122.18,37.78,43,1985,440.0,1085,407,3.4205,136700
287,-122.18,37.78,50,1642,322.0,713,284,3.2984,160700
288,-122.17,37.78,49,893,177.0,468,181,3.875,140600
289,-122.17,37.78,52,653,128.0,296,121,4.175,144000
290,-122.16,37.77,47,1256,,570,218,4.375,161900
291,-122.16,37.77,48,977,194.0,446,180,4.7708,156300
292,-122.16,37.77,45,2324,397.0,968,384,3.5739,176000
293,-122.16,37.77,39,1583,349.0,857,316,3.0958,145800
294,-122.17,37.77,39,1612,342.0,912,322,3.3958,141900
295,-122.17,37.77,31,2424,533.0,1360,452,1.871,90700
296,-122.17,37.76,41,1594,367.0,1074,355,1.9356,90600
297,-122.17,37.76,47,2118,413.0,965,382,2.1842,107900
298,-122.18,37.76,37,1575,358.0,933,320,2.2917,107000
299,-122.17,37.76,38,1764,397.0,987,354,2.4333,98200
300,-122.18,37.76,50,1187,261.0,907,246,1.9479,89500
301,-122.18,37.76,52,754,175.0,447,165,3.9063,93800
302,-122.18,37.76,49,2308,452.0,1299,451,1.8407,96700
303,-122.18,37.77,27,909,236.0,396,157,2.0786,97500
304,-122.18,37.77,42,1180,257.0,877,268,2.8125,97300
305,-122.18,37.76,43,2018,408.0,1111,367,1.8913,91200
306,-122.19,37.76,49,1368,282.0,790,269,1.7056,91400
307,-122.18,37.77,52,2744,547.0,1479,554,2.2768,96200
308,-122.18,37.77,51,2107,471.0,1173,438,3.2552,120100
309,-122.18,37.77,52,1748,362.0,1029,366,2.0556,100000
310,-122.19,37.76,52,2024,391.0,1030,350,2.4659,94700
311,-122.2,37.76,47,1116,259.0,826,279,1.75,85700
312,-122.19,37.77,41,2036,510.0,1412,454,2.0469,89300
313,-122.19,37.77,45,1852,393.0,1132,349,2.7159,101400
314,-122.19,37.76,41,921,207.0,522,159,1.2083,72500
315,-122.19,37.76,45,995,238.0,630,237,1.925,74100
316,-122.2,37.75,36,606,132.0,531,133,1.5809,70000
317,-122.2,37.76,37,2680,736.0,1925,667,1.4097,84600
318,-122.19,37.76,38,1493,370.0,1144,351,0.7683,81800
319,-122.19,37.75,19,2207,565.0,1481,520,1.3194,81400
320,-122.19,37.75,28,856,189.0,435,162,0.8012,81800
321,-122.19,37.76,26,1293,297.0,984,303,1.9479,85800
322,-122.19,37.74,36,847,212.0,567,159,1.1765,87100
323,-122.18,37.74,42,541,154.0,380,123,2.3456,83500
324,-122.19,37.73,44,1066,253.0,825,244,2.1538,79700
325,-122.19,37.74,43,707,147.0,417,155,2.5139,83400
326,-122.19,37.73,45,1528,291.0,801,287,1.2625,84700
327,-122.18,37.73,42,909,215.0,646,198,2.9063,80000
328,-122.18,37.73,43,1391,293.0,855,285,2.5192,76400
329,-122.18,37.73,44,548,119.0,435,136,2.1111,79700
331,-122.17,37.74,41,1613,445.0,1481,414,2.4028,97700
332,-122.17,37.74,47,463,134.0,327,137,2.15,97200
333,-122.17,37.74,43,818,193.0,494,179,2.4776,101600
334,-122.17,37.73,43,1473,371.0,1231,341,2.1587,86500
335,-122.18,37.74,35,504,126.0,323,109,1.8438,90500
336,-122.17,37.74,46,1026,226.0,749,225,3.0298,107600
337,-122.17,37.74,46,769,183.0,693,178,2.25,84200
338,-122.18,37.74,46,2103,391.0,1339,354,2.2467,88900
